PERMNO,date,TICKER,PRC
59328,20150622,INTC,32.26000
59328,20150623,INTC,32.08500
59328,20150624,INTC,31.91000
59328,20150625,INTC,31.99000
59328,20150626,INTC,31.02000
59328,20150629,INTC,30.39000
59328,20150630,INTC,30.41500
59328,20150701,INTC,30.18000
59328,20150702,INTC,30.55500
59328,20150706,INTC,30.04000
59328,20150707,INTC,29.90000
59328,20150708,INTC,29.50000
59328,20150709,INTC,28.93000
59328,20150710,INTC,29.17000
59328,20150713,INTC,29.73000
59328,20150714,INTC,29.65000
59328,20150715,INTC,29.69000
59328,20150716,INTC,29.90000
59328,20150717,INTC,29.47000
59328,20150720,INTC,29.10000
59328,20150721,INTC,28.72000
59328,20150722,INTC,28.60500
59328,20150723,INTC,28.59500
59328,20150724,INTC,28.06000
59328,20150727,INTC,28.35000
59328,20150728,INTC,28.96000
59328,20150729,INTC,29.01000
59328,20150730,INTC,28.91000
59328,20150731,INTC,28.95000
59328,20150803,INTC,29.05000
59328,20150804,INTC,29.13000
59328,20150805,INTC,29.12000
59328,20150806,INTC,29.01000
59328,20150807,INTC,28.88000
59328,20150810,INTC,29.64000
59328,20150811,INTC,28.97000
59328,20150812,INTC,29.46000
59328,20150813,INTC,28.87000
59328,20150814,INTC,29.02000
59328,20150817,INTC,29.08000
59328,20150818,INTC,28.91000
59328,20150819,INTC,28.36000
59328,20150820,INTC,27.53000
59328,20150821,INTC,26.56000
59328,20150824,INTC,26.25000
59328,20150825,INTC,25.87000
59328,20150826,INTC,27.30000
59328,20150827,INTC,27.72000
59328,20150828,INTC,28.42000
59328,20150831,INTC,28.54000
59328,20150901,INTC,27.82000
59328,20150902,INTC,28.60000
59328,20150903,INTC,29.08000
59328,20150904,INTC,28.52000
59328,20150908,INTC,29.50000
59328,20150909,INTC,29.24000
59328,20150910,INTC,29.27000
59328,20150911,INTC,29.47000
59328,20150914,INTC,29.39000
59328,20150915,INTC,29.73000
59328,20150916,INTC,29.77000
59328,20150917,INTC,29.71000
59328,20150918,INTC,29.02000
59328,20150921,INTC,29.16000
59328,20150922,INTC,28.67000
59328,20150923,INTC,28.74000
59328,20150924,INTC,28.48000
59328,20150925,INTC,28.81000
59328,20150928,INTC,28.76000
59328,20150929,INTC,29.24000
59328,20150930,INTC,30.14000
59328,20151001,INTC,30.00000
59328,20151002,INTC,30.51000
59328,20151005,INTC,31.21000
59328,20151006,INTC,31.74000
59328,20151007,INTC,32.31500
59328,20151008,INTC,32.52000
59328,20151009,INTC,32.14000
59328,20151012,INTC,32.21000
59328,20151013,INTC,32.04000
59328,20151014,INTC,32.80000
59328,20151015,INTC,32.75000
59328,20151016,INTC,33.04000
59328,20151019,INTC,33.59000
59328,20151020,INTC,33.44000
59328,20151021,INTC,33.37000
59328,20151022,INTC,34.40000
59328,20151023,INTC,34.90000
59328,20151026,INTC,34.59000
59328,20151027,INTC,34.47000
59328,20151028,INTC,34.71000
59328,20151029,INTC,34.03000
59328,20151030,INTC,33.86000
59328,20151102,INTC,34.11000
59328,20151103,INTC,34.31000
59328,20151104,INTC,34.15000
59328,20151105,INTC,34.00000
59328,20151106,INTC,33.84000
59328,20151109,INTC,33.35000
59328,20151110,INTC,33.21000
59328,20151111,INTC,32.86000
59328,20151112,INTC,32.40000
59328,20151113,INTC,32.11000
59328,20151116,INTC,32.10000
59328,20151117,INTC,32.64000
59328,20151118,INTC,33.16000
59328,20151119,INTC,34.30000
59328,20151120,INTC,34.66000
59328,20151123,INTC,34.48000
59328,20151124,INTC,34.36000
59328,20151125,INTC,34.45000
59328,20151127,INTC,34.46000
59328,20151130,INTC,34.77000
59328,20151201,INTC,35.09000
59328,20151202,INTC,34.83000
59328,20151203,INTC,34.04000
59328,20151204,INTC,34.93500
59328,20151207,INTC,34.98500
59328,20151208,INTC,34.75000
59328,20151209,INTC,34.81000
59328,20151210,INTC,34.77000
59328,20151211,INTC,34.27000
59328,20151214,INTC,34.47000
59328,20151215,INTC,35.18000
59328,20151216,INTC,35.30000
59328,20151217,INTC,34.91000
59328,20151218,INTC,33.86500
59328,20151221,INTC,34.24000
59328,20151222,INTC,34.73000
59328,20151223,INTC,35.00000
59328,20151224,INTC,34.98000
59328,20151228,INTC,34.93000
59328,20151229,INTC,35.44000
59328,20151230,INTC,34.99000
59328,20151231,INTC,34.45000
59328,20160104,INTC,33.99000
59328,20160105,INTC,33.83000
59328,20160106,INTC,33.08000
59328,20160107,INTC,31.84000
59328,20160108,INTC,31.51000
59328,20160111,INTC,32.06000
59328,20160112,INTC,32.68000
59328,20160113,INTC,31.91000
59328,20160114,INTC,32.74000
59328,20160115,INTC,29.76000
59328,20160119,INTC,29.80000
59328,20160120,INTC,29.59000
59328,20160121,INTC,29.66000
59328,20160122,INTC,29.92500
59328,20160125,INTC,29.60000
59328,20160126,INTC,29.94000
59328,20160127,INTC,29.81000
59328,20160128,INTC,29.97000
59328,20160129,INTC,31.02000
59328,20160201,INTC,30.82000
59328,20160202,INTC,29.80000
59328,20160203,INTC,29.34000
59328,20160204,INTC,29.77000
59328,20160205,INTC,29.04000
59328,20160208,INTC,28.82000
59328,20160209,INTC,28.81000
59328,20160210,INTC,28.23000
59328,20160211,INTC,28.22000
59328,20160212,INTC,28.64000
59328,20160216,INTC,28.78000
59328,20160217,INTC,29.47000
59328,20160218,INTC,29.42000
59328,20160219,INTC,28.71000
59328,20160222,INTC,29.35000
59328,20160223,INTC,28.80000
59328,20160224,INTC,29.19000
59328,20160225,INTC,29.62000
59328,20160226,INTC,29.80000
59328,20160229,INTC,29.59000
59328,20160301,INTC,30.37000
59328,20160302,INTC,30.54000
59328,20160303,INTC,30.58000
59328,20160304,INTC,30.63000
59328,20160307,INTC,30.94000
59328,20160308,INTC,30.56000
59328,20160309,INTC,30.86500
59328,20160310,INTC,31.25000
59328,20160311,INTC,31.76000
59328,20160314,INTC,31.43000
59328,20160315,INTC,31.65000
59328,20160316,INTC,31.69000
59328,20160317,INTC,31.98000
59328,20160318,INTC,32.68000
59328,20160321,INTC,32.34000
59328,20160322,INTC,32.32000
59328,20160323,INTC,32.00000
59328,20160324,INTC,31.88000
59328,20160328,INTC,31.90000
59328,20160329,INTC,32.38000
59328,20160330,INTC,32.71000
59328,20160331,INTC,32.35000
59328,20160401,INTC,32.45000
59328,20160404,INTC,32.00000
59328,20160405,INTC,31.90000
59328,20160406,INTC,32.08000
59328,20160407,INTC,31.55000
59328,20160408,INTC,31.63000
59328,20160411,INTC,31.67000
59328,20160412,INTC,31.86000
59328,20160413,INTC,32.13000
59328,20160414,INTC,31.80000
59328,20160415,INTC,31.46000
59328,20160418,INTC,31.65000
59328,20160419,INTC,31.60000
59328,20160420,INTC,32.00000
59328,20160421,INTC,31.97000
59328,20160422,INTC,31.64000
59328,20160425,INTC,31.39000
59328,20160426,INTC,31.40000
59328,20160427,INTC,31.75000
59328,20160428,INTC,31.11000
59328,20160429,INTC,30.28000
59328,20160502,INTC,30.61000
59328,20160503,INTC,30.36000
59328,20160504,INTC,29.85000
59328,20160505,INTC,29.90000
59328,20160506,INTC,30.04000
59328,20160509,INTC,29.80000
59328,20160510,INTC,30.14000
59328,20160511,INTC,30.06000
59328,20160512,INTC,29.76000
59328,20160513,INTC,29.91000
59328,20160516,INTC,30.39000
59328,20160517,INTC,29.98000
59328,20160518,INTC,29.99000
59328,20160519,INTC,29.63000
59328,20160520,INTC,30.15000
59328,20160523,INTC,30.23000
59328,20160524,INTC,31.06000
59328,20160525,INTC,31.39000
59328,20160526,INTC,31.49000
59328,20160527,INTC,31.57000
59328,20160531,INTC,31.59000
59328,20160601,INTC,31.66000
59328,20160602,INTC,31.76000
59328,20160603,INTC,31.62000
59328,20160606,INTC,31.68000
59328,20160607,INTC,31.88000
59328,20160608,INTC,31.89000
59328,20160609,INTC,31.94000
59328,20160610,INTC,32.04000
59328,20160613,INTC,32.17000
59328,20160614,INTC,32.14000
59328,20160615,INTC,31.61000
59328,20160616,INTC,31.69000
59328,20160617,INTC,31.76000
59328,20160620,INTC,32.17000
59328,20160621,INTC,32.32000
59328,20160622,INTC,32.29000
59328,20160623,INTC,32.99000
59328,20160624,INTC,31.55000
59328,20160627,INTC,30.72000
59328,20160628,INTC,31.19000
59328,20160629,INTC,31.93000
59328,20160630,INTC,32.80000
59328,20160701,INTC,32.75000
59328,20160705,INTC,32.68000
59328,20160706,INTC,32.97000
59328,20160707,INTC,33.20000
59328,20160708,INTC,34.00000
59328,20160711,INTC,34.38000
59328,20160712,INTC,34.94000
59328,20160713,INTC,35.01000
59328,20160714,INTC,35.20000
59328,20160715,INTC,35.07000
59328,20160718,INTC,35.05000
59328,20160719,INTC,35.15000
